,action_id,start,end,WaitTriggerFile_start,WaitTriggerFile_end,CreatePhil_start,CreatePhil_end,DialsStills_start,DialsStills_end,SsxGatherData_start,SsxGatherData_end,SsxPlot_start,SsxPlot_end,PublishGatherMetadata_start,PublishGatherMetadata_end,PublishTransfer_start,PublishTransfer_end,PublishIngest_start,PublishIngest_end,TransferProc_start,TransferProc_end,PublishTransfer_bytes_transferred,TransferProc_bytes_transferred,total_bytes_transferred,PublishTransfer_action_time,PublishIngest_action_time,TransferProc_action_time,funcx_task_ids,flow_runtime,WaitTriggerFile_runtime,CreatePhil_runtime,DialsStills_runtime,SsxGatherData_runtime,SsxPlot_runtime,PublishGatherMetadata_runtime,PublishTransfer_runtime,PublishIngest_runtime,TransferProc_runtime,total_funcx_time
0,72e66131-4ecb-4ffd-8900-0bc69ba19f34,1648524523.571986,1648526293.0,1648524524.2350001,1648525579.704,1648525579.7150002,1648525588.3939998,1648525588.404,1648525735.2940001,1648525735.308,1648525742.796,1648525742.8209999,1648525749.833,1648525749.8430002,1648525759.069,1648525759.08,1648525763.0700002,1648525763.084,1648525767.323,1648525767.335,1648526293.0,12572300,15392147,27964447,2.0,0.0,294.0,"['715365c0-1000-4ccc-9ddc-d4c370db1a4d', 'e44c3852-86d0-42de-a8cd-bfd61758eae5', 'a477a65b-319b-42e5-ae16-631527589eb2', '45259926-f44d-4d5a-9a59-f91719c95a31', '04001443-2d99-4e5f-a3db-0fcf977dd729', '9275304e-01eb-4d98-ac3f-fdeba1cbcc71']",1769.4280140399933,1055.468999862671,8.678999662399292,146.89000010490417,7.48799991607666,7.01200008392334,9.22599983215332,3.9900002479553223,4.238999843597412,525.664999961853,1234.7639994621277
1,ea38e35b-e2d1-4cbe-bb7d-7f54220e5c1a,1648524576.807202,1648526226.012,1648524577.0870001,1648525648.2419999,1648525648.253,1648525656.451,1648525656.464,1648525665.7779999,1648525665.792,1648525677.33,1648525677.3409998,1648525684.8049998,1648525684.815,1648525694.86,1648525694.872,1648525700.76,1648525700.7710001,1648525705.649,1648525705.661,1648526226.012,4937085,45817377,50754462,2.0,0.0,312.0,"['4e522017-20c6-4aea-9137-5c68d039dfba', '7fb99658-07c2-4880-9b5b-c30750f2823d', '85a0f593-d22a-42ec-b54e-7cec27291c89', '2bde7b79-4e1e-40d1-a658-d4fafbe4e089', '9ffc7e43-13a2-4f85-af4c-fb140f21769a', '5db343fb-e162-4067-9778-69feb1aa33d7']",1649.2047979831696,1071.1549997329712,8.197999954223633,9.313999891281128,11.537999868392944,7.46399998664856,10.044999837875366,5.888000011444092,4.877999782562256,520.3510000705719,1117.7139992713928
2,6956b238-372d-4552-afb7-e61dfd369b66,1648524684.8170218,1648526095.205,1648524685.3,1648525746.6990001,1648525746.7089999,1648525754.2,1648525754.208,1648525912.564,1648525912.5779998,1648525922.687,1648525922.7,1648525931.671,1648525931.6790001,1648525938.881,1648525938.8899999,1648525951.141,1648525951.151,1648525956.3059998,1648525956.316,1648526095.205,22280,23954809,23977089,3.0,0.0,89.0,"['85026578-4316-4861-91cd-cf01b22ae8dc', '98c000e0-15a5-4634-b1e8-8e775a22cf05', '93e0e17c-56ee-4de0-a9f3-30ecd0b2580f', '2eceebea-2d6a-45a3-9763-921a2a3c2519', '19f97af0-0767-408d-b947-1ae3be270bd8', '0efdff8a-2476-4df7-a90f-86b76dfa9bcb']",1410.3879780769348,1061.3990001678467,7.491000175476074,158.35599994659424,10.109000205993652,8.970999956130981,7.20199990272522,12.251000165939331,5.154999732971191,138.88899993896484,1253.5280003547668
3,631075cd-5c1b-4153-8e68-ae548b86c6e9,1648524738.632082,1648526129.273,1648524738.985,1648525798.4099998,1648525798.4259999,1648525805.2220001,1648525805.232,1648525956.836,1648525956.852,1648525965.7299998,1648525965.744,1648525973.988,1648525973.9980001,1648525983.663,1648525983.687,1648525988.1820002,1648525988.1929998,1648525993.0300002,1648525993.0419998,1648526129.273,8391145,12724303,21115448,3.0,1.0,90.0,"['0b42526e-61d7-4e58-b796-b1fed8f79fe7', '0d3d0438-13b8-4f50-95ed-f453b2b15ee8', '71dcd02f-7d3f-4c9f-af5b-22f46b3b3156', '5c2be748-9d53-4f7e-8314-8dae7bf92264', 'cd65fae3-4928-46d3-8abc-321957792594', '02df7204-8c0e-4a6c-8f5b-6328170958e7']",1390.6409180164337,1059.4249999523163,6.796000242233276,151.60399985313416,8.877999782562256,8.24399995803833,9.664999961853027,4.495000123977661,4.837000370025635,136.23100018501282,1244.6119997501373
4,694445a9-7da3-47c7-8eb0-72758715b329,1648524846.413889,1648526007.43,1648524846.835,1648525402.912,1648525402.927,1648525413.838,1648525413.853,1648525702.7710001,1648525702.78,1648525711.96,1648525711.971,1648525721.152,1648525721.161,1648525727.885,1648525727.896,1648525734.651,1648525734.668,1648525738.616,1648525738.627,1648526007.43,4208117,15709187,19917304,3.0,0.0,204.0,"['9d91a238-f67a-44bd-a165-d2eb13dddd40', 'ca09f79a-e43f-4299-b553-6ce9a8094a09', '39338ad4-a1cc-427a-997b-6cd31a8a128c', '56b5660e-72c3-4c73-bc1a-f818b42b3854', 'c55d28fa-3cff-4de4-a698-f4dfc05c51a8', '999be5d1-6e20-4ccc-b8a0-9db90c330f97']",1161.0161111354828,556.0769999027252,10.91100001335144,288.91800022125244,9.180000066757202,9.180999994277954,6.723999977111816,6.755000114440918,3.947999954223633,268.8029999732971,880.9910001754761
5,f917c9ea-177a-4b7c-9615-eabdf215b146,1648524901.000087,1648525795.703,1648524901.3,1648525434.99,1648525435.0049999,1648525448.5830002,1648525448.593,1648525461.124,1648525461.134,1648525472.184,1648525472.1950002,1648525486.6169999,1648525486.63,1648525496.962,1648525496.9859998,1648525500.722,1648525500.7350001,1648525514.28,1648525514.297,1648525795.703,4936258,42713023,47649281,3.0,1.0,183.0,"['bdf7e7cf-9e1b-47a6-9619-80b26a46a474', 'd79b93ec-f079-420a-b66d-1c791fb21dcc', 'da653550-5687-4311-9887-5aae444c6f63', '1eb0aba1-7f7e-4721-afc9-ee42eedd58b9', '9fb55b32-4ce5-460f-8748-00fd4815851d', '50e6a243-e9c1-4e1c-bf31-641556eeb3f0']",894.7029130458832,533.6900000572205,13.57800030708313,12.531000137329102,11.049999952316284,14.42199969291687,10.331999778747559,3.7360000610351562,13.544999837875366,281.4060001373291,595.6029999256134
6,46e9e9d2-47c6-4edb-ad5b-4183f10a6164,1648525007.670969,1648526049.5660002,1648525008.119,1648525570.365,1648525570.374,1648525580.121,1648525580.128,1648525864.67,1648525864.683,1648525872.075,1648525872.0860002,1648525880.3969998,1648525880.407,1648525890.3270001,1648525890.337,1648525900.013,1648525900.024,1648525903.9529998,1648525903.965,1648526049.5660002,27328093,25973517,53301610,4.0,1.0,93.0,"['f33f6904-6a95-449e-b378-a8fe4efe8528', '525f5dde-9d21-44ec-8e5c-8c80401c03d3', '1b10b798-18ec-4877-91b8-ba4ad1dbf254', 'd78f357a-5cd8-42a3-a792-967c25c1d0e6', '64be10e4-3026-454f-a39a-a5bb6b2e61f2', '65c73816-d2a5-4be6-b6ad-495248ea6539']",1041.8950312137604,562.2460000514984,9.746999979019165,284.5420000553131,7.391999959945679,8.310999631881714,9.920000076293945,9.676000118255615,3.928999900817871,145.60100030899048,882.157999753952
7,a52d02b5-f31c-4b69-82f9-dadd2664cb12,1648525061.5583491,1648525933.308,1648525061.8409998,1648525597.4099998,1648525597.423,1648525606.4169998,1648525606.427,1648525764.551,1648525764.5619998,1648525772.855,1648525772.866,1648525782.1390002,1648525782.15,1648525788.967,1648525788.985,1648525792.86,1648525792.928,1648525797.056,1648525797.073,1648525933.308,16754669,22538636,39293305,3.0,0.0,92.0,"['7c95ae28-a890-4693-a277-ae89083f76ee', 'aac5f4e2-30bd-4254-a63a-9bd715e77f94', 'b2d4a283-cef0-4cbd-8358-67fe9f59fb84', '51c69801-4017-4b9a-8486-228b31bf6ee9', '131762a5-d120-4158-8f2e-d3b83167b21c', '7cd0f93d-bae8-48a1-9691-ee5643c6d740']",871.7496509552002,535.569000005722,8.993999719619751,158.12400007247925,8.293000221252441,9.273000240325928,6.816999912261963,3.875,4.128000020980835,136.2350001335144,727.0700001716614
8,6e55c47d-ae02-40f9-8ce6-6b431b579cfc,1648525115.5644832,1648525865.9550002,1648525115.8969998,1648525399.7020001,1648525399.719,1648525411.799,1648525411.809,1648525690.329,1648525690.351,1648525699.968,1648525699.98,1648525707.313,1648525707.3219998,1648525715.9889998,1648525716.0019999,1648525727.133,1648525727.144,1648525730.973,1648525730.985,1648525865.9550002,4937238,17545165,22482403,2.0,1.0,131.0,"['1fb41201-d124-47db-a73f-32b74ae0c8a9', '17ae3384-e50c-4f66-a1a6-27b43f724b62', 'd6e35711-ed6c-4883-acd7-e7d8f2d5c550', '808cbc87-c981-4cab-8a20-a3a4f3faeb22', '9f2ae2ea-096f-42bf-a439-e5d3b557cb70', '95568398-6514-4b9f-8b1c-da52e73d31d4']",750.3905169963837,283.8050003051758,12.079999923706055,278.5199999809265,9.616999864578247,7.33299994468689,8.66700005531311,11.13100004196167,3.8289999961853027,134.9700002670288,600.0220000743866
9,68f8b2bb-c59d-465f-ab61-f1f0608ebe05,1648525168.055233,1648526234.8700001,1648525168.596,1648525465.621,1648525465.631,1648525476.149,1648525476.169,1648525637.716,1648525637.7289999,1648525650.503,1648525650.512,1648525665.8460002,1648525665.8569999,1648525689.526,1648525689.536,1648525699.571,1648525699.585,1648525704.1729999,1648525704.185,1648526234.8700001,4937085,45810775,50747860,2.0,1.0,308.0,"['22b4e989-e45b-41e7-b569-69a1514de2ba', '03e5969e-d7a5-4f7a-9c42-3224fbc1c39e', '578ca162-8d6b-41be-b82b-4818c65aee2e', 'd3eb4f03-910c-4d80-93d2-3130c988417f', '1b1cfb32-8690-4cd3-b2e2-753c705fd639', '33a65f96-ab61-4cfe-bbd5-cf5d93ca5106']",1066.8147671222687,297.02500009536743,10.51799988746643,161.54700016975403,12.77400016784668,15.33400011062622,23.669000148773193,10.035000085830688,4.5879998207092285,530.6850001811981,520.867000579834
