,action_id,start,end,TransferFromClutchToTheta_start,TransferFromClutchToTheta_end,PrePublishGatherMetadata_start,PrePublishGatherMetadata_end,PrePublishTransfer_start,PrePublishTransfer_end,PrePublishIngest_start,PrePublishIngest_end,AcquireNodes_start,AcquireNodes_end,XpcsBoostCorr_start,XpcsBoostCorr_end,MakeCorrPlots_start,MakeCorrPlots_end,GatherXpcsMetadata_start,GatherXpcsMetadata_end,PublishGatherMetadata_start,PublishGatherMetadata_end,PublishTransfer_start,PublishTransfer_end,PublishIngest_start,PublishIngest_end,TransferFromClutchToTheta_bytes_transferred,PrePublishTransfer_bytes_transferred,PublishTransfer_bytes_transferred,total_bytes_transferred,TransferFromClutchToTheta_action_time,PrePublishTransfer_action_time,PrePublishIngest_action_time,PublishTransfer_action_time,PublishIngest_action_time,funcx_task_ids,flow_runtime,TransferFromClutchToTheta_runtime,PrePublishGatherMetadata_runtime,PrePublishTransfer_runtime,PrePublishIngest_runtime,AcquireNodes_runtime,XpcsBoostCorr_runtime,MakeCorrPlots_runtime,GatherXpcsMetadata_runtime,PublishGatherMetadata_runtime,PublishTransfer_runtime,PublishIngest_runtime,total_funcx_time
0,674f307e-7e0b-4db6-8c74-702ce2156f94,1646937456.344059,1646937697.125,1646937456.916,1646937468.828,1646937468.844,1646937482.308,1646937482.324,1646937488.793,1646937488.81,1646937493.879,1646937493.892,1646937514.275,1646937514.2940001,1646937611.95,1646937611.9699998,1646937657.0609999,1646937657.075,1646937666.001,1646937666.021,1646937680.88,1646937680.909,1646937691.685,1646937691.705,1646937697.125,982287915,1057042334,1093908234,3133238483,4.0,4.0,1.0,4.0,1.0,"['f0b96543-b720-4a59-8b76-e35478f3effa', 'b1988aaa-ef11-4851-ab83-9e636281efe1', '7ed915ca-2996-4081-b45e-302051128ae6', '75a4ee97-7ffa-460f-bcdd-28af61a2e57f', 'fc7c384d-d457-4a7d-b307-26d3ae1f0740', 'ccaaee37-2f35-45a6-b7da-e56034c9e8cf']",240.78094100952148,11.912000179290771,13.46399998664856,6.4690001010894775,5.069000005722046,20.383000135421753,97.65599989891052,45.09100008010864,8.925999879837036,14.859000205993652,10.776000022888184,5.420000076293945,200.37900018692017
1,4c8b45e3-49e4-4324-bb19-424003529f44,1646940552.608383,1646940775.498,1646940553.283,1646940563.839,1646940563.849,1646940582.6460001,1646940582.6579998,1646940587.878,1646940587.891,1646940597.481,1646940597.4940002,1646940617.584,1646940617.613,1646940699.12,1646940699.144,1646940737.704,1646940737.719,1646940748.162,1646940748.178,1646940765.448,1646940765.4780002,1646940771.0670002,1646940771.093,1646940775.498,982287915,1093908234,1130776760,3206972909,4.0,4.0,1.0,3.0,1.0,"['886e1c35-7fc3-4add-b63c-e04427713b64', '55832e6c-7bee-4b8c-82db-516f5b301154', '8e67dd31-689d-40fb-bc07-bcf58a0cf34d', 'b980dc4a-b0a2-4495-ac23-31c6524637de', 'a590c9f6-1cb3-4fec-879a-8f052f8d168d', '7734a6b0-1c55-4ef6-9843-7f7ff8b9f2a2']",222.88961696624756,10.555999994277954,18.79700016975403,5.220000267028809,9.589999914169312,20.08999991416931,81.50699996948242,38.55999994277954,10.442999839782715,17.269999980926514,5.58899998664856,4.4049999713897705,186.66699981689453
2,dd8841f9-a487-44e3-88e0-c8e6cefec0d3,1646941010.147525,1646941223.7299998,1646941010.528,1646941016.6030002,1646941016.612,1646941038.585,1646941038.615,1646941070.3609998,1646941070.373,1646941074.766,1646941074.792,1646941082.18,1646941082.196,1646941161.5649998,1646941161.584,1646941188.6950002,1646941188.71,1646941196.258,1646941196.275,1646941212.445,1646941212.47,1646941218.82,1646941218.838,1646941223.7299998,982287915,1130776760,1167645286,3280709961,4.0,3.0,0.0,3.0,1.0,"['dfe73d78-b56d-438b-9e4e-4896688c2446', 'b4c0dcfe-03f0-4146-b0c3-19025dca5c1b', 'c1f2fa1f-0a0a-4a7d-8f3e-522c69249303', 'ff48514f-3cde-4770-a83b-43f349ff9854', 'be06ea9f-9e54-424c-89ed-89a6991c20dc', '7a3eada0-f3dd-4cd9-8a4a-3f903c61f462']",213.58247470855713,6.075000047683716,21.973000049591064,31.745999813079834,4.39300012588501,7.388000011444092,79.36899971961975,27.111000061035156,7.547999858856201,16.169999837875366,6.349999904632568,4.8919997215271,159.55899953842163
3,66dd4d90-f168-4241-9393-136182502ce3,1646942739.0768,1646942946.1950002,1646942740.115,1646942747.5870001,1646942747.597,1646942768.079,1646942768.095,1646942773.8569999,1646942773.871,1646942778.636,1646942778.6499999,1646942803.697,1646942803.717,1646942820.963,1646942820.977,1646942855.739,1646942855.756,1646942864.6899998,1646942864.716,1646942872.829,1646942872.85,1646942941.7020001,1646942941.721,1646942946.1950002,365880421,455643162,495094173,1316617756,3.0,3.0,1.0,39.0,0.0,"['57242536-aab4-4f76-805b-a020383bfffa', '074a6ab8-b19c-4792-b2d7-0afe80701796', '2c02cdb1-7487-418c-b923-8bc67a11a0f0', '6b1f184b-f2e5-4d42-bf9d-5705ba9a3ec2', 'b914158a-31b6-462d-a711-d796aea7b2b0', '4e02e71c-95db-44e7-aca6-4d925f458a83']",207.11820006370544,7.4720001220703125,20.48200011253357,5.761999845504761,4.764999866485596,25.04700016975403,17.246000051498413,34.76200008392334,8.93399977684021,8.11299991607666,68.85200023651123,4.4740002155303955,114.58400011062622
4,566f66a5-4ddb-48f6-93d2-3f90abf09c27,1646942743.2280772,1646942894.91,1646942743.401,1646942748.57,1646942748.579,1646942771.3379998,1646942771.352,1646942776.526,1646942776.5379999,1646942780.747,1646942780.759,1646942796.8339999,1646942796.848,1646942816.876,1646942816.8899999,1646942863.356,1646942863.371,1646942870.4529998,1646942870.467,1646942878.611,1646942878.633,1646942889.62,1646942889.636,1646942894.91,301338284,379127341,407169406,1087635031,3.0,3.0,1.0,3.0,0.0,"['056a27d1-23dc-4966-a687-0b3533fdc742', '69732ae4-27c2-47de-8a3b-db5654883b46', '427f3224-a390-42f3-8ed0-4073abd87164', '254c0c11-4511-4f1c-b0a2-a8a2beeaaadf', 'c07df313-4663-454c-b96c-5ac921aea7b5', 'b3deb4a8-1d56-49c6-a1cb-cb476dbc16ea']",151.68192291259766,5.168999910354614,22.758999824523926,5.174000024795532,4.209000110626221,16.074999809265137,20.027999877929688,46.46600008010864,7.081999778747559,8.144000053405762,10.986999988555908,5.27400016784668,120.55399942398071
5,1c3852aa-db08-4188-b43b-6173a78c7b14,1646942749.4036338,1646942894.894,1646942749.632,1646942757.879,1646942757.888,1646942770.1699998,1646942770.1820002,1646942775.3630002,1646942775.376,1646942783.263,1646942783.28,1646942799.4129999,1646942799.425,1646942813.0,1646942813.019,1646942863.507,1646942863.523,1646942871.682,1646942871.701,1646942879.132,1646942879.155,1646942889.23,1646942889.248,1646942894.894,301131422,390070927,429521064,1120723413,3.0,3.0,1.0,4.0,0.0,"['657e5087-fff0-4f8e-ae19-07e18c157d8a', '52d1a53e-70ee-4871-8ccc-a4a6b5fe5607', '298b75a6-3782-4f78-9970-c7333fcc66e8', 'e74e65da-a306-43a0-9226-3fb43a62f81e', '08bb400c-e5fe-42ee-ab20-cd0c71bc957d', '5adb3775-1a5f-406f-a5d9-d5cc95fab2ef']",145.49036622047424,8.246999979019165,12.281999826431274,5.180999994277954,7.88700008392334,16.132999897003174,13.575000047683716,50.48799991607666,8.158999919891357,7.430999994277954,10.075000047683716,5.646000146865845,108.06799960136414
6,0e88d25a-a53f-42cb-9304-c29c99960852,1646942755.548418,1646942899.708,1646942755.772,1646942760.981,1646942760.9910002,1646942770.0019999,1646942770.018,1646942775.2140002,1646942775.228,1646942779.223,1646942779.245,1646942797.1420002,1646942797.1580002,1646942824.732,1646942824.757,1646942872.57,1646942872.5870001,1646942880.851,1646942880.869,1646942888.403,1646942888.425,1646942895.458,1646942895.484,1646942899.708,252066035,341103980,380555302,973725317,2.0,3.0,1.0,2.0,0.0,"['6127412d-216b-4689-833a-4616a140dafc', '733157d7-026f-4f1c-889c-ca8f3b36bfe1', '64d77565-0c0f-4d73-a8de-f805c3198eaa', '57dc793c-3adf-45c1-ad2a-d1e77f26832c', '873e5b36-d4c4-4405-b85b-ea09e32c07e6', '0331c18b-f1bd-4eae-a9ff-df5e65f6053f']",144.15958189964294,5.208999872207642,9.01099967956543,5.196000337600708,3.995000123977661,17.897000312805176,27.573999881744385,47.812999963760376,8.263999938964844,7.5340001583099365,7.0329999923706055,4.223999977111816,118.09299993515015
7,afd81092-e5d0-405a-8cf2-811d43e3a71e,1646942761.711603,1646942892.409,1646942761.978,1646942769.069,1646942769.078,1646942777.258,1646942777.2700002,1646942782.626,1646942782.6390002,1646942788.163,1646942788.175,1646942797.1009998,1646942797.1139998,1646942813.689,1646942813.703,1646942858.4099998,1646942858.425,1646942866.481,1646942866.499,1646942874.1590002,1646942874.178,1646942882.3470001,1646942882.3779998,1646942892.409,252040624,341152564,380542167,973735355,3.0,3.0,0.0,6.0,1.0,"['35ad196d-3926-42a4-9f73-2cf4127fb289', 'f42812b9-81fa-42b2-90b8-dc830a22c149', '2dbdf867-3196-43e5-8e53-52590fb6b236', '3141e9ce-4511-45fc-82f5-c43ce6843592', '1f3315be-1fba-4e58-b605-6be3763732f8', '6c1ce362-286f-4067-80ff-08569283a92f']",130.69739699363708,7.091000080108643,8.179999828338623,5.355999708175659,5.523999929428101,8.925999879837036,16.575000047683716,44.70699977874756,8.055999994277954,7.6600000858306885,8.169000148773193,10.031000137329102,94.10399961471558
8,869923fe-0f32-4a0e-ba6c-e3f0072402c8,1646942767.910841,1646942914.923,1646942768.1369998,1646942774.671,1646942774.681,1646942790.755,1646942790.768,1646942795.124,1646942795.136,1646942800.093,1646942800.105,1646942809.367,1646942809.381,1646942837.7779999,1646942837.8,1646942888.352,1646942888.367,1646942897.667,1646942897.683,1646942907.172,1646942907.192,1646942911.089,1646942911.106,1646942914.923,251923951,341005678,379646430,972576059,3.0,2.0,0.0,3.0,1.0,"['231b4840-6188-40b1-8dee-408b416a9d29', '61ac52fc-6a94-4993-823f-8fcd448be17f', '8e3ba83a-45d5-4625-abb3-75536a6c7b0f', 'ce83b2ab-24b0-4468-8c3b-9b4c8c30ec42', '43aaeb7f-afbb-4958-8e6a-dcfec84f7083', '97c9b4d1-84e8-4d3b-ba40-7cd8ae5178e4']",147.0121591091156,6.5340001583099365,16.074000120162964,4.356000185012817,4.957000017166138,9.26200008392334,28.396999835968018,50.55200004577637,9.299999952316284,9.488999843597412,3.8970000743865967,3.817000150680542,123.07399988174438
9,cf1b7ea4-c782-4ce5-8e10-0a0b9d441956,1646942773.980153,1646942879.7020001,1646942774.418,1646942778.38,1646942778.388,1646942787.2259998,1646942787.237,1646942797.5619998,1646942797.5740001,1646942801.167,1646942801.185,1646942809.449,1646942809.468,1646942827.381,1646942827.3939998,1646942854.163,1646942854.1790001,1646942862.135,1646942862.165,1646942869.824,1646942869.844,1646942875.017,1646942875.036,1646942879.7020001,251902108,289641850,326461320,868005278,2.0,2.0,1.0,3.0,1.0,"['2a34eed6-6e00-44b4-929a-38a6496eb401', '6110a017-af48-44ef-8a06-18f182a633ad', '06ea007d-1a20-48df-81ea-e904faa4d5e6', '315a187e-388c-4bf7-8959-732fae6f83b4', '6c9cc0c5-0fa6-43bd-aa9a-b9d8f91f5a80', '5a59cac0-143a-4ddd-9094-7ef569e4d1e8']",105.72184705734253,3.9620001316070557,8.837999820709229,10.324999809265137,3.5929999351501465,8.263999938964844,17.913000106811523,26.76900029182434,7.955999851226807,7.658999919891357,5.172999858856201,4.666000127792358,77.3989999294281
