,action_id,start,end,Transfer_start,Transfer_end,PosTransfer_start,PosTransfer_end,Analyze_start,Analyze_end,Transfer2_start,Transfer2_end,Transfer1Result_bytes_transferred,Transfer2Result_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,Transfer_runtime,PosTransfer_runtime,Analyze_runtime,Transfer2_runtime,total_funcx_time
0,7b94e8d4-1eb7-43f0-9341-d43f7e16ee5c,1644513687.321734,1644513750.824,1644513687.9859998,1644513693.28,1644513693.2870002,1644513717.5649998,1644513717.573,1644513745.519,1644513745.526,1644513750.824,11047247,0,11047247,[],63.50226593017578,5.294000148773193,24.27799963951111,27.94600009918213,5.297999858856201,27.94600009918213
1,3052546e-7811-4836-9a59-37574e6826bc,1644514185.497851,1644514244.949,1644514186.0310001,1644514192.079,1644514192.0870001,1644514197.783,1644514197.793,1644514224.484,1644514224.493,1644514244.949,11112290,0,11112290,[],59.451148986816406,6.047999858856201,5.69599986076355,26.69099998474121,20.455999851226807,26.69099998474121
2,b94da6bf-20fe-4dae-a922-561c9bcca4c6,1644514788.730508,1644514851.108,1644514789.5500002,1644514794.5670002,1644514794.576,1644514816.418,1644514816.429,1644514846.569,1644514846.579,1644514851.108,11026406,0,11026406,[],62.37749195098877,5.016999959945679,21.842000007629395,30.140000104904175,4.5290000438690186,30.140000104904175
3,ca5614a8-d3f4-46e3-bb1b-0b8628ba52f2,1644514854.4190779,1644514886.748,1644514854.782,1644514869.675,1644514869.687,1644514874.2380002,1644514874.247,1644514881.733,1644514881.742,1644514886.748,11138502,0,11138502,[],32.32892203330994,14.89299988746643,4.551000118255615,7.486000061035156,5.005999803543091,7.486000061035156
4,f27ba6dc-909a-4bac-ac2c-3424b6934a34,1644515621.900723,1644515713.34,1644515622.5660002,1644515655.645,1644515655.655,1644515683.135,1644515683.1529999,1644515707.0049999,1644515707.015,1644515713.34,11136048,0,11136048,[],91.43927693367004,33.078999757766724,27.480000019073486,23.85199999809265,6.324999809265137,23.85199999809265
5,0015e2ca-1966-412e-9c08-819b26da28e9,1644515828.0407941,1644515859.4380002,1644515828.4940002,1644515833.339,1644515833.3470001,1644515840.06,1644515840.0700002,1644515854.318,1644515854.329,1644515859.4380002,11128849,0,11128849,[],31.39720606803894,4.84499979019165,6.7129998207092285,14.247999906539917,5.109000205993652,14.247999906539917
6,5912e218-e786-44b8-a2f9-de05d7606a18,1644516357.682575,1644516402.107,1644516358.332,1644516363.628,1644516363.638,1644516368.5619998,1644516368.572,1644516397.7649999,1644516397.7740002,1644516402.107,11145501,0,11145501,[],44.42442512512207,5.296000003814697,4.923999786376953,29.192999839782715,4.33299994468689,29.192999839782715
7,9d58f2d9-047b-41a5-a66a-218829833564,1644517777.5727842,1644518113.557,1644517778.256,1644517783.0540001,1644517783.063,1644517787.686,1644517787.6950002,1644518108.096,1644518108.1139998,1644518113.557,11151442,98348688,109500130,[],335.98421573638916,4.79800009727478,4.623000144958496,320.4009997844696,5.443000078201294,320.4009997844696
8,6d1d3cb4-baf5-4882-afc8-747845e4b29e,1644518361.971366,1644518681.4220002,1644518362.52,1644518373.24,1644518373.248,1644518381.555,1644518381.57,1644518668.5180001,1644518668.533,1644518681.4220002,11153801,98348696,109502497,[],319.4506342411041,10.72000002861023,8.307000160217285,286.9480001926422,12.889000177383423,286.9480001926422
9,b5cf3996-79f2-4710-88dd-3a893fb06862,1644518365.2245572,1644518470.18,1644518366.3500001,1644518377.385,1644518377.393,1644518381.761,1644518381.769,1644518466.4910002,1644518466.5059998,1644518470.18,11152297,23400,11175697,[],104.95544290542603,11.03499984741211,4.368000030517578,84.72200012207031,3.6740002632141113,84.72200012207031
